site_name,corridor,veg_complexity,LFT_dist,H2O_dist,WV_dist,MV_dist,WVF_dist,WVO_dist,BUFF_DIST,ORIG_FID,SHAPE_Length,SHAPE_Area,built,DEM_median,DEM_mean,NDVI_median,NDVI_mean,POP_median,POP_mean,WVO_PA,WVF_PA,MV_PA,Fdec_PA,Fmix_PA,Fcon_PA
TUW1,1,4,24.64352915,145.3390153,0,433.1604993,0,369.0559689,2000,1,12566.37061,12566370.61,0.123484298,123,123.2293777,0.367949605,0.373274952,159.2214279,196.0576885,0.028309899,0.167849634,0.135390472,0.013989518,0.1015275,0.014597816
TUW2,0,1,7.640638641,98.06373482,21.52917828,0,21.52917828,91.03783907,2000,2,12566.37061,12566370.61,0.116657724,122,119.1111984,0.366261274,0.367560537,171.6904907,259.5910602,0.038255964,0.180756429,0.166178802,0.014364721,0.108509677,0.015044594
TUW3,0,4,95.58163189,256.6905144,0,502.0745543,0,349.3296947,2000,3,12566.37061,12566370.61,0.124413818,123,123.3603134,0.36788626,0.374745971,161.1056976,200.3968236,0.029993618,0.160659695,0.122093,0.013966943,0.096368315,0.014589268
TUW4,1,4,0,69.29300416,0,1211.017349,2.066870314,0,2000,4,12566.37061,12566370.61,0.162731267,110,104.8694229,0.33559829,0.340735287,241.4252319,292.3538752,0.069436007,0.133766102,0.021614401,0.000948225,0.079471421,0.013338864
TUW4b,0,4,0,54.21226841,0,1028.192392,0,31.9093984,2000,57,12566.37061,12566370.61,0.155535039,110,105.3973999,0.346729666,0.349743828,222.9560165,262.6773009,0.06886017,0.142863715,0.022410472,0.000944529,0.08409062,0.013831225
TUW5,1,3,0,137.2736564,8.076294193,712.9227425,8.076294193,42.79251014,2000,5,12566.37061,12566370.61,0.156711843,107,103.2641602,0.341757208,0.345403562,240.1497192,282.5064614,0.069559707,0.155986786,0.016381484,0.000953551,0.096580122,0.012881537
TUW6,0,3,117.5040017,103.9042524,87.75626978,516.4663363,139.9887772,87.75626978,2000,6,12566.37061,12566370.61,0.152653074,102,100.3376083,0.336775482,0.33989791,236.6748352,285.1511955,0.080215752,0.149555954,0.029843505,0.000956798,0.092394703,0.013233074
TUW7,1,3,9.505885337,157.8205089,0,240.7874133,0,19.55410741,2000,7,12566.37061,12566370.61,0.212602656,111,106.6519775,0.264793724,0.284207411,484.8123169,599.683242,0.044458139,0.134995638,0.022492817,0.029365432,0.033178899,0.014734114
TUW8,0,3,51.8866428,333.4903737,0,78.85612405,2.107017725,0,2000,8,12566.37061,12566370.61,0.184473076,108,103.5536728,0.302002758,0.321405587,484.8123169,561.6949582,0.051221572,0.164778145,0.031622341,0.035379795,0.043721247,0.021283582
TUW09,0,1,0,373.1556177,143.8753274,151.0996102,143.8753274,386.5215582,2000,9,12566.37061,12566370.61,0.202616135,107,103.4085617,0.271040693,0.29166019,512.0990601,610.1146713,0.055466258,0.150765245,0.029117158,0.035748092,0.035662936,0.016806772
TUW09b,0,1,0,181.7131766,50.80897013,1470.676099,50.80897013,68.35026466,2000,10,12566.37061,12566370.61,0.168296852,97,93.8266144,0.282062978,0.304617041,517.3785095,559.5574829,0.122801241,0.164464671,0.020306916,0.047732843,0.03804162,0.014535613
TUW10,0,1,0,2148.354188,1772.773067,232.0027248,1772.773067,1964.762116,2000,11,12566.37061,12566370.61,0.308066808,113,114.0921783,0.188388973,0.201758596,618.2489014,618.5513757,3.43774E-05,0.001230782,0.040975891,0.001135657,0,0
TUW11,0,2,3.987868402,360.8383355,10.01481846,176.4750802,10.01481846,587.5225566,2000,12,12566.37061,12566370.61,0.13621734,115,113.562149,0.256145149,0.288149381,309.637619,364.231498,0.016552198,0.087717542,0.187189917,0.014003977,0.024209629,0.005959706
TUW12,0,1,10.9160757,2872.628022,594.4908772,236.1503188,2527.384296,594.4908772,2000,13,12566.37061,12566370.61,0.347626504,109,107.9507446,0.186315969,0.201264594,604.2172241,635.0871787,0.001101125,0,0.059392217,0,0,0
TUW13,0,1,3.810875141,2890.430386,281.2050758,359.342615,2182.043537,281.2050758,2000,14,12566.37061,12566370.61,0.391580991,111,109.9413071,0.171776317,0.181374719,596.7727051,689.0203547,0.001204407,0,0.029800946,0,0,0
TUW14,0,1,21.96318202,3069.884418,82.80152116,124.9755299,1845.338294,82.80152116,2000,15,12566.37061,12566370.61,0.431649918,108,106.2846832,0.141784705,0.162129974,663.3507996,869.9391504,0.002899942,0.00173724,0.028823045,0,0.001059946,8.55436E-06
TUW15,0,0,180.8685687,2680.26679,538.5818659,0,1490.7586,538.5818659,2000,16,12566.37061,12566370.61,0.391685198,112,110.7125397,0.176272064,0.190097833,630.6271362,791.1536105,0.003119258,0.009804807,0.034018814,7.88044E-08,0.003692123,0.002980677
TUW16,0,1,0,325.6063676,200.8360459,757.8809045,1720.546003,200.8360459,2000,17,12566.37061,12566370.61,0.212604641,78,80.2730026,0.121133834,0.155153788,131.4773254,393.8405239,0.072679429,0.002303177,0.015119883,0,0,0
TUW17,1,2,0,133.7824904,96.75452775,903.7603495,1685.096673,96.75452775,2000,18,12566.37061,12566370.61,0.214503032,78,80.2318115,0.121045694,0.154988273,150.6112823,346.3859236,0.070595461,0.002302449,0.012987515,0,0,0
TUW18,0,1,0,275.6480762,231.44632,721.0006392,1620.064744,231.44632,2000,19,12566.37061,12566370.61,0.218265064,79,80.5929565,0.126029372,0.15977914,209.4094391,421.6738941,0.071656652,0.002451486,0.018257764,2.96587E-05,0,0.000123118
TUW19,0,3,21.2589432,260.3038422,0,49.42903551,1586.183657,0,2000,20,12566.37061,12566370.61,0.154815465,78,79.2246246,0.219081335,0.233789217,320.8384399,309.6818457,0.153006406,0.002084753,0.108277956,0,0,0
TUW20,0,1,0,11.02607065,304.2741479,165.3178981,1008.267812,304.2741479,2000,21,12566.37061,12566370.61,0.179916486,79,81.5819016,0.238907993,0.244418737,431.2212219,374.6255747,0.09973972,0.002920557,0.107298974,0,0,0
TUW21,0,1,0,269.0604889,442.4173092,431.4802455,723.1290582,442.4173092,2000,22,12566.37061,12566370.61,0.194904426,81,84.2053986,0.251066715,0.256014694,446.6067505,418.2764758,0.06456304,0.00497267,0.098453273,0,0.002225047,0
TUW22,0,3,0,435.4971093,6.811130088,279.1737314,6.811130088,354.2138531,2000,23,12566.37061,12566370.61,0.184324738,127,119.9975052,0.322076529,0.330633497,350.6062012,345.5400762,0.026890549,0.095439687,0.06538839,0.044859478,0.032878746,0.001470233
TUW23,1,4,11.86986795,534.2930268,0,350.7019056,0,456.4120246,2000,24,12566.37061,12566370.61,0.186691117,127,119.8662033,0.31971474,0.328199567,350.6062012,345.2086784,0.025321181,0.093114768,0.063115114,0.044532553,0.031536326,0.001410204
TUW24,0,1,2.071118086,347.1783592,0,185.4572459,0,59.87700542,2000,25,12566.37061,12566370.61,0.158178584,148,143.2612762,0.288299263,0.298074591,198.2506714,219.3119111,0.041683898,0.066624624,0.079859357,0.042165395,0.007695565,0.011092228
TUW25,0,1,0,294.3324621,12.37440559,138.7538953,14.11023053,12.37440559,2000,26,12566.37061,12566370.61,0.155278516,150,143.5935669,0.296519443,0.304670936,198.2506714,221.814895,0.050674612,0.074572651,0.084248609,0.044354075,0.012630024,0.011523534
TUW26,1,4,87.90778214,269.5701286,0,60.02238647,0,44.96168688,2000,27,12566.37061,12566370.61,0.150968139,150,143.4442749,0.301281571,0.30968555,192.4954987,216.0216752,0.062321761,0.078589684,0.086015582,0.044677868,0.015394654,0.01176522
TUW27,0,2,0,204.5913937,0,259.084092,0,18.31307883,2000,28,12566.37061,12566370.61,0.122281945,127,128.1225586,0.347542882,0.35419678,160.9151306,190.6937646,0.067959363,0.093611183,0.049080743,0.034531449,0.059030627,0
TUW28,1,4,171.6259261,180.928826,0,1295.261362,51.40781674,0,2000,29,12566.37061,12566370.61,0.107886662,163,155.6035919,0.375870943,0.378580672,128.0656738,184.9579474,0.09756557,0.132641083,0.027966669,0.132641083,0,0
TUW29,0,1,15.00962438,327.7543676,0,1224.735026,0,10.9950299,2000,30,12566.37061,12566370.61,0.112733834,162,155.439621,0.368961811,0.369410228,138.7648163,221.8040045,0.089846901,0.122918707,0.027332142,0.122918707,0,0
TUW29b,0,2,31.86339264,1107.318203,10.27209235,394.355125,10.27209235,561.0050475,2000,31,12566.37061,12566370.61,0.12107088,149,143.7223663,0.347482949,0.348886878,191.651825,322.5725766,0.051003909,0.083013446,0.087521785,0.048802903,0.028467797,0
